family,job_title,avg_salary_usd,seniority,remote_friendly,seniority_rank,salary_band,family_median_salary
AI & Innovation,Metaverse Developer,115000,Mid,True,2,$110K–$150K,112500.0
AI & Innovation,UX Researcher,88000,Mid,True,2,$80K–$110K,112500.0
AI & Innovation,ML Engineer (NPC AI),130000,Senior,True,3,$110K–$150K,112500.0
AI & Innovation,VR/AR Specialist,110000,Senior,True,3,$110K–$150K,112500.0
Animation & VFX,Facial Animator,80000,Mid,True,2,$80K–$110K,82500.0
Animation & VFX,VFX Artist,78000,Mid,True,2,$50K–$80K,82500.0
Animation & VFX,3D Animator,72000,Mid,True,2,$50K–$80K,82500.0
Animation & VFX,Cinematic Director,95000,Senior,True,3,$80K–$110K,82500.0
Animation & VFX,Motion Capture Supervisor,90000,Senior,False,3,$80K–$110K,82500.0
Animation & VFX,Technical Animator,85000,Senior,True,3,$80K–$110K,82500.0
Art & Design,UI/UX Designer,80000,Mid,True,2,$80K–$110K,72000.0
Art & Design,Character Artist (3D),74000,Mid,True,2,$50K–$80K,72000.0
Art & Design,Game Designer,72000,Mid,True,2,$50K–$80K,72000.0
Art & Design,Environment Artist (3D),72000,Mid,True,2,$50K–$80K,72000.0
Art & Design,Narrative Designer,70000,Mid,True,2,$50K–$80K,72000.0
Art & Design,Level Designer,68000,Mid,True,2,$50K–$80K,72000.0
Art & Design,2D Animator,68000,Mid,True,2,$50K–$80K,72000.0
Art & Design,Concept Artist,65000,Mid,True,2,$50K–$80K,72000.0
Art & Design,Storyboard Artist,62000,Mid,True,2,$50K–$80K,72000.0
Art & Design,Art Director,95000,Senior,True,3,$80K–$110K,72000.0
Art & Design,Technical Artist,85000,Senior,True,3,$80K–$110K,72000.0
Audio,Composer,75000,Mid,True,2,$50K–$80K,75000.0
Audio,Sound Designer,70000,Mid,True,2,$50K–$80K,75000.0
Audio,Audio Engineer,68000,Mid,False,2,$50K–$80K,75000.0
Audio,Audio Director,105000,Senior,True,3,$80K–$110K,75000.0
Audio,Dialogue Director,85000,Senior,False,3,$80K–$110K,75000.0
