rank,name,country,market_cap_usd_bn,revenue_usd_bn,operating_income_usd_bn,invested_capital_usd_bn,employees,founded,hq_city,continent,company_age,ratio_cap_revenue,revenue_per_employee,roic_pct
1,Tencent Holdings,China,380.0,86.0,22.5,120.0,110000,1998.0,Shenzhen,Asia,27,4.42,781818.0,18.8
2,Sony Interactive Entertainment,Japan,109.0,28.9,2.1,19.5,30000,1993.0,Tokyo,Asia,32,3.77,963333.0,10.8
3,Nintendo,Japan,107.0,14.8,3.6,11.2,7000,,Kyoto,Asia,25,7.23,2114286.0,32.1
4,Microsoft Gaming,USA,100.0,21.4,2.8,24.0,30000,2002.0,Redmond,North America,23,4.67,713333.0,11.7
5,Apple (Gaming),USA,98.0,22.0,15.2,6.5,164000,1976.0,Cupertino,North America,49,4.45,134146.0,233.8
6,Activision Blizzard,USA,95.0,9.5,2.1,16.0,9500,1979.0,Santa Monica,North America,46,10.0,1000000.0,13.1
7,Roblox Corporation,USA,69.8,3.6,-0.5,2.1,4300,2006.0,San Mateo,North America,19,19.39,837209.0,-23.8
8,NetEase,China,56.0,13.7,3.1,10.5,26000,1997.0,Hangzhou,Asia,28,4.09,526923.0,29.5
9,Sea Limited (Garena),Singapore,52.0,2.8,0.4,3.2,67000,2009.0,Singapore,Asia,16,18.57,41791.0,12.5
10,Electronic Arts,USA,42.8,7.6,1.4,6.8,12800,1982.0,Redwood City,North America,43,5.63,593750.0,20.6
11,Take-Two Interactive,USA,37.0,5.3,0.8,5.1,11000,1993.0,New York,North America,32,6.98,481818.0,15.7
12,Bandai Namco,Japan,34.5,8.9,0.9,4.2,12000,2006.0,Tokyo,Asia,19,3.88,741667.0,21.4
13,Square Enix,Japan,22.0,2.8,0.3,1.9,5300,2003.0,Tokyo,Asia,22,7.86,528302.0,15.8
14,Capcom,Japan,20.8,1.4,0.4,1.1,3200,1979.0,Osaka,Asia,46,14.86,437500.0,36.4
15,Krafton,South Korea,18.5,1.6,0.5,1.4,4600,2007.0,Seongnam,Asia,18,11.56,347826.0,35.7
16,Nexon,South Korea,15.2,2.3,0.7,2.1,7200,1994.0,Seoul,Asia,31,6.61,319444.0,33.3
17,Konami,Japan,14.9,2.6,0.4,1.8,10300,1969.0,Tokyo,Asia,56,5.73,252427.0,22.2
18,Ubisoft,France,12.0,2.2,0.1,3.5,19000,1986.0,Paris,Europe,39,5.45,115789.0,2.9
19,CD Projekt,Poland,11.8,0.7,0.2,0.6,1100,1994.0,Warsaw,Europe,31,16.86,636364.0,33.3
20,Riot Games,USA,11.5,1.8,0.4,1.2,4500,2006.0,Los Angeles,North America,19,6.39,400000.0,33.3
21,Epic Games,USA,11.0,6.0,0.8,4.5,4000,1991.0,Cary,North America,34,1.83,1500000.0,17.8
22,NCSoft,South Korea,9.5,0.9,0.2,0.8,4700,1997.0,Seongnam,Asia,28,10.56,191489.0,25.0
23,Netmarble,South Korea,8.9,2.4,0.1,2.0,6800,2000.0,Seoul,Asia,25,3.71,352941.0,5.0
24,Embracer Group,Sweden,8.5,3.1,0.2,4.8,16000,2011.0,Karlstad,Europe,14,2.74,193750.0,4.2
25,Sega Sammy,Japan,7.8,3.2,0.3,2.5,6000,1945.0,Tokyo,Asia,80,2.44,533333.0,12.0
26,Zynga,USA,7.5,2.8,0.2,2.1,3700,2007.0,San Francisco,North America,18,2.68,756757.0,9.5
27,GungHo Online,Japan,6.9,1.1,0.2,0.7,800,2002.0,Tokyo,Asia,23,6.27,1375000.0,28.6
28,Mixi,Japan,5.8,1.0,0.2,0.8,1200,1999.0,Tokyo,Asia,26,5.8,833333.0,25.0
29,DeNA,Japan,5.2,1.1,0.1,0.9,2100,1999.0,Tokyo,Asia,26,4.73,523810.0,11.1
30,Gravity,South Korea,4.8,0.3,0.1,0.2,400,2000.0,Seoul,Asia,25,16.0,750000.0,50.0
31,Stillfront Group,Sweden,4.5,0.6,0.1,0.5,1900,2010.0,Stockholm,Europe,15,7.5,315789.0,20.0
32,Playtika,Israel,4.3,2.6,0.4,1.5,3900,2011.0,Herzliya,Middle East,14,1.65,666667.0,26.7
33,Playway,Poland,4.1,0.18,0.08,0.1,100,2011.0,Kraków,Europe,14,22.78,1800000.0,80.0
34,Paradox Interactive,Sweden,3.8,0.25,0.09,0.15,650,1999.0,Stockholm,Europe,26,15.2,384615.0,60.0
35,Remedy Entertainment,Finland,3.5,0.21,0.04,0.1,600,1995.0,Espoo,Europe,30,16.67,350000.0,40.0
36,505 Games,Italy,3.2,0.4,0.05,0.2,700,2006.0,Milan,Europe,19,8.0,571429.0,25.0
37,Devolver Digital,USA,2.9,0.35,0.06,0.18,300,2009.0,Austin,North America,16,8.29,1166667.0,33.3
38,Focus Entertainment,France,2.8,0.22,0.03,0.15,650,1996.0,Paris,Europe,29,12.73,338462.0,20.0
39,Nacon,France,2.5,0.2,0.02,0.15,700,2019.0,Lesquin,Europe,6,12.5,285714.0,13.3
40,THQ Nordic,Austria,2.3,0.3,0.04,0.2,1200,2011.0,Vienna,Europe,14,7.67,250000.0,20.0
41,Team17,UK,2.1,0.14,0.03,0.08,450,1990.0,Wakefield,Europe,35,15.0,311111.0,37.5
42,Frontier Developments,UK,1.9,0.13,0.02,0.1,950,1994.0,Cambridge,Europe,31,14.62,136842.0,20.0
43,Warhorse Studios,Czech Republic,1.7,0.09,0.03,0.05,250,2011.0,Prague,Europe,14,18.89,360000.0,60.0
44,TinyBuild,USA,1.5,0.09,0.01,0.06,280,2012.0,Bellevue,North America,13,16.67,321429.0,16.7
45,Thunderful Group,Sweden,1.3,0.19,0.02,0.1,1000,2019.0,Gothenburg,Europe,6,6.84,190000.0,20.0
46,GreenPark Sports,UK,1.2,0.05,-0.01,0.04,120,2019.0,London,Europe,6,24.0,416667.0,-25.0
47,Starbreeze Studios,Sweden,1.1,0.06,0.01,0.05,300,1998.0,Stockholm,Europe,27,18.33,200000.0,20.0
48,Versus Evil,USA,0.9,0.04,0.01,0.02,50,2012.0,Nashville,North America,13,22.5,800000.0,50.0
49,Tripwire Interactive,USA,0.8,0.06,0.02,0.04,120,2005.0,Redmond,North America,20,13.33,500000.0,50.0
50,Kalypso Media,Germany,0.7,0.08,0.01,0.05,250,2006.0,Worms,Europe,19,8.75,320000.0,20.0
